Assay ID,Assay Method,Symbol,Mode,Classification,Format,Target Class,Technology
558,Single Point,MAP2K1,100,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
1203,Single Point,MAP3K7,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
563,Single Point,MAP3K9,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
585,Single Point,MAPK14,100,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
589,Single Point,MAPK8,100,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
593,Single Point,MAPKAPK2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
599,Single Point,MAPKAPK5,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
602,Single Point,MARK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
605,Single Point,MARK2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
617,Single Point,MET,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
623,Single Point,MINK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
1267,Single Point,MKNK2,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
626,Single Point,MST1R,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
1209,Single Point,MYLK,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
638,Single Point,NEK2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
651,Single Point,NTRK1,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
1163,Single Point,NUAK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,Adapta
1166,Single Point,PAK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
660,Single Point,PAK2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
666,Single Point,PAK4,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
672,Single Point,PAK7,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
687,Single Point,PDGFRB,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
688,Single Point,PDK1,100,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
979,Single Point,PI4KB,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
1065,Single Point,PIK3C2A,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
175,Single Point,PIK3C3,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
1014,Single Point,PIK3CA,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
973,Single Point,PIK3CB,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
976,Single Point,PIK3CD,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
1017,Single Point,PIK3CG,Km app,Lipid,Biochemical (Activity),Kinase,Adapta
700,Single Point,PIM2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
706,Single Point,PLK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
715,Single Point,PRKACA,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
718,Single Point,PRKCA,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
730,Single Point,PRKCE,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
745,Single Point,PRKCQ,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
757,Single Point,PRKG1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
766,Single Point,PTK2,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
771,Single Point,PTK6,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
775,Single Point,RET,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
778,Single Point,RET V804L,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
1847,Single Point,RET V804M,,Receptor Tyr,Biochemical (Binding),Kinase,LanthaScreen Binding
784,Single Point,ROCK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
787,Single Point,ROCK2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
789,Single Point,ROS1,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
792,Single Point,RPS6KA1 ,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
804,Single Point,RPS6KA5,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
810,Single Point,RPS6KB1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
813,Single Point,SGK,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
822,Single Point,SRC,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
830,Single Point,SRPK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
1217,Single Point,STK17A ,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
851,Single Point,STK4,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
854,Single Point,SYK,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
859,Single Point,TBK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
1239,Single Point,TGFBR1,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
1860,Single Point,TNIK,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
867,Single Point,TYRO3,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
1862,Single Point,ULK2,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
870,Single Point,YES1,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
